frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
150,1.0,[1025.8605115879511 636.5691690646657 1327.4681659615205 892.2594832726771],[1133.11962890625 792.7174072265625 1225.4278564453125 829.9053955078125],0.38340696692466736,AP05JEO,0.169971414222309
151,1.0,[1026.997608510939 637.8357269085536 1330.360706946875 894.7350689727507],[1126.3114013671875 791.67041015625 1235.2869873046875 832.7107543945312],0.3724517822265625,AP05JEO,0.7468260373454098
152,1.0,[1023.5406536668094 640.176959753353 1328.6062881473922 897.1163873926257],[1126.286376953125 794.6581420898438 1231.2237548828125 836.0960083007812],0.46811991930007935,AP05JEO,0.6311478500387735
152,8.0,[526.8337413301333 587.047862460851 790.6628643222464 813.6622229793096],[618.6194458007812 717.85302734375 694.8013916015625 759.6824340820312],0.3580329120159149,KK05ZIK,0.2547782161852173
153,1.0,[1024.06068068469 642.3622773220885 1329.2475834515508 900.3807633264436],[1129.734130859375 795.5494995117188 1238.3878173828125 844.7239379882812],0.3904047906398773,AP05JEO,0.15195827977247386
154,1.0,[1022.3924453867842 643.1309178271575 1330.8788690478248 902.0406013147],[1132.97607421875 800.2487182617188 1246.3450927734375 849.9574584960938],0.40402159094810486,AP05JEO,0.8953025993406527
155,1.0,[1024.8157604509358 645.3947214368992 1335.5988904223407 904.8722595375101],[1132.09130859375 803.772216796875 1239.728515625 847.994384765625],0.42398107051849365,AP05JEO,0.6825581510729647
156,1.0,[1026.8394928036485 650.5162509027365 1336.4599893835732 910.2533054042902],[1139.3885498046875 807.3462524414062 1247.9437255859375 850.8609008789062],0.4267960488796234,AP05JED,0.5242576657410916
157,1.0,[1025.4660325109141 651.8294796189638 1334.6988202005903 912.3772028308061],[1133.4764404296875 809.423095703125 1247.50244140625 850.0195922851562],0.5003362894058228,AP05JEO,0.34683024947843044
157,8.0,[520.8328877859685 592.1380002747193 786.3742009512316 824.3348160477193],[610.25048828125 731.2601318359375 694.4322509765625 775.6820678710938],0.36960917711257935,MH05ZZV,0.03590244866428045
159,1.0,[1023.2604413586621 655.3763000548787 1334.8385778801778 916.8335020948374],[1140.937744140625 819.104736328125 1239.3651123046875 855.3607177734375],0.3738241195678711,AP05JEO,0.20273571785510885
160,8.0,[517.0826152712259 596.6463972946686 784.7510437349542 832.0954991362715],[603.1605224609375 736.2564697265625 692.2265014648438 779.931884765625],0.4591544270515442,KH05ZTK,0.3569326986131152
160,1.0,[1027.6797138724648 657.3839354855271 1336.5815225437857 919.1607464657521],[1138.22998046875 816.4793701171875 1244.1546630859375 857.600830078125],0.3722800612449646,XP05JEO,0.40020983470803156
161,8.0,[515.9843883009901 599.934343545646 784.2709529895674 835.1547582972453],[603.586181640625 739.1876220703125 690.8075561523438 781.86181640625],0.4556651711463928,KR05ZTK,0.40867355434354524
162,1.0,[1025.5973752356576 662.3951809527173 1336.8290989810098 926.4371005460625],[1142.858154296875 827.4959106445312 1256.972412109375 871.3851928710938],0.2753726840019226,JP05JEO,0.297148996990762
163,1.0,[1027.1907332466087 664.5863860575585 1339.0375636551478 929.4521519127543],[1136.2186279296875 826.717529296875 1248.812744140625 871.3064575195312],0.4025450050830841,AP05JED,0.6565488738437227
164,8.0,[512.560049799642 605.7211789034559 783.9727841594081 840.7967135869737],[602.5038452148438 746.8865356445312 690.4248657226562 789.0068359375],0.5380251407623291,KH05ZIR,0.14471835010217704
164,1.0,[1028.931288363563 666.5734360637576 1341.0496683748156 933.0935843214694],[1138.2998046875 829.9658203125 1247.593994140625 875.9732666015625],0.5253773927688599,AP05JEO,0.8139923822086551
165,1.0,[1033.2665464864933 669.1491994639875 1343.3032558809607 937.7211688199493],[1138.5792236328125 833.9031372070312 1258.732177734375 875.7509765625],0.5318142771720886,AP05JEO,0.24282160547891496
165,8.0,[510.4891416970297 609.595457296463 783.42980307321 845.2948264288597],[603.223876953125 749.9765625 689.1704711914062 790.4498291015625],0.4959929585456848,KK15ZZK,0.19757388360169853
166,8.0,[510.71815182413434 609.9088174412569 784.0857681399941 845.5842057089034],[600.0504150390625 751.3862915039062 688.087890625 796.1663818359375],0.5621377825737,KR05ZZK,0.45382688606732785
166,1.0,[1031.8384293231538 671.4539219662774 1342.1911323329714 941.0212847804896],[1140.7293701171875 838.925537109375 1236.2420654296875 876.4698486328125],0.3242804706096649,AP05JED,0.3879844786518082
167,1.0,[1030.8004050815932 674.3746120609349 1342.5695619481219 944.718649163713],[1151.3968505859375 839.1881103515625 1260.236083984375 880.5238037109375],0.33432507514953613,AP05JEO,0.30508295673368685
170,1.0,[1039.9904166679642 679.9937910311412 1349.3853493278064 950.5535295107154],[1142.9119873046875 849.7992553710938 1251.157470703125 893.1318969726562],0.5187605619430542,AP05JEO,0.2593780114273585
171,1.0,[1040.9633713625497 683.8835317374613 1349.8694813142858 954.5469214673577],[1145.52294921875 853.423828125 1255.021484375 896.083740234375],0.4108929932117462,AP15JEO,0.12745902111821966
